season,n,rmse,mae,r2,bias
DJF,23436,0.29113509778797353,0.22415760159492493,0.9602331519126892,-0.08296370506286621
JJA,23436,0.5416408190306653,0.3469085395336151,0.9482851624488831,-0.1424395591020584
MAM,23436,0.4168640761824368,0.31644201278686523,0.9801260232925415,-0.1119578555226326
SON,23436,0.36248700677671153,0.27771252393722534,0.9869566559791565,-0.11641665548086166
