fold,n_train,n_val,rmse,mae,r2,bias
1,72324,15120,0.31211342743306464,0.23186355829238892,0.9949896335601807,-0.005009866319596767
2,87444,15120,0.2994136807811914,0.22643791139125824,0.9953207969665527,-0.03073788993060589
3,102564,15120,0.32372802917573906,0.24303840100765228,0.9945193529129028,-0.05354740843176842
4,117684,15120,0.3239514961420676,0.23829655349254608,0.9948427677154541,0.0028249325696378946
