scenario,n,rmse,mae,r2,bias
003,15624,0.4359637091903527,0.2998238205909729,0.9917763471603394,-0.12633027136325836
004,15624,0.40445455526209934,0.2876174747943878,0.9922130703926086,-0.11783546209335327
005,15624,0.3804352966891541,0.2798917293548584,0.9932103753089905,-0.08386233448982239
006,15624,0.44755195214880655,0.3047650456428528,0.990734875202179,-0.12334448844194412
007,15624,0.4064206351873265,0.2894284725189209,0.9924654364585876,-0.11015025526285172
008,15624,0.40137400006455115,0.28630444407463074,0.9924675822257996,-0.11914385110139847
