model,rmse,mae,r2
XGBoost,0.31480165838301566,0.23490910604596138,0.9949181377887726
LinearRegression,0.6851470428428331,0.5363210525472751,0.975936346885095
Ridge,0.7246110478253732,0.5676501211113767,0.9730900727554436
